ADRNo;SOC;SOCCode: System Organ Class;HLT:Higher Level Term;HLTCode;PT: Preffered Term;PTCode;LLT: Lower Level Term;LLTCode
10704/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
10704/19;Investigations;34;Renal and urinary investigations;262;Glucosuria;1079;Glucosuria;1960
10704/19;Endocrine system disorders;7;Pancreas endocrine disorders;48;Diabetes mellitus;240;Diabetes mellitus;389
10594/19;Systemic disorders;19;Death;151;Death;592;Death;984
10587/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10587/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
10587/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10588/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10589/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Tonic-clonic seizure;646
10594/19;Neurological disorders;14;Impaired consciousness;99;Loss of consciousness;405;Collapse (see also 'Cardio-vascular' and 'Systemic disorders');668
10594/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
10601/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10601/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
10603/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10603/19;Neurological disorders;14;Impaired consciousness;99;Sedation;664;Sedation;111
10603/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Ataxia;654
10603/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Unable to jump;2394
10624/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
10626/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
10626/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10626/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
10627/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
10627/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
10627/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10628/19;Eye disorders;8;Scleral and conjunctival disorders;64;Conjunctivitis;291;Chemosis;1107
10631/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10631/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Appetite loss;997
10631/19;Neurological disorders;14;Central nervous system disorders;94;Central nervous system disorder NOS;389;Head tremor;1900
10631/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Limb weakness;1121
10631/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
10631/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Dyspnoea;506;Laboured breathing;1171
10631/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin disorders NOS;847;Lump;1191
10635/19;Eye disorders;8;Abnormal vision;52;Impaired vision;253;Abnormal pupil light reflex;1097
10635/19;Eye disorders;8;Retinal disorders;63;Retinal disorder NOS;289;Retinal disorder NOS;466
10645/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
10647/19;Reproductive system disorders;16;Vulvovaginal disorders;130;Vulvovaginitis;499;Swollen vulva;825
10638/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
10646/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site mass;2113
10648/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
10648/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Hives (see also 'Skin');1525
10648/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
10648/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Reddening of the skin;946
10648/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Dermatitis and eczema;938;Skin inflammation NOS;1759
10648/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
10653/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10653/19;Eye disorders;8;Other eye disorders;62;Periorbital oedema;285;Swollen eye;1810
10657/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Urticaria;521
10657/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
10657/19;Eye disorders;8;Other eye disorders;62;Periorbital oedema;285;Swollen eye;1810
10660/19;Systemic disorders;19;Death;151;Death;592;Unrelated death;2110
10656/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
10656/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
10656/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10656/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Unsettled;2673
10658/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
10658/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10658/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
10637/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
10637/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10637/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
10625/19;Unclassifiable event;33;Unclassifiable adverse event;243;Product problem;978;Product problem;2283
10680/19;Investigations;34;Residue investigations;269;Residues in milk;1105;Residues in milk;2043
10591/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (mite);2652
10619/19;Application site disorders;1;Application site reactions;1;Application site reaction NOS;16;Application site lump;21
10619/19;Systemic disorders;19;General signs or symptoms;154;Trauma NOS;897;Wound;2593
10619/19;Application site disorders;1;Application site reactions;1;Application site reaction NOS;16;Application site reaction NOS;29
10469/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
10469/19;Investigations;34;White blood cell investigations;250;Monocytosis;1031;Monocytosis;2420
10686/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Unsettled;2673
10686/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Pacing;2208
10686/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Restlessness;119
10686/19;Behavioural disorders;2;Other behavioural disorders;6;Teeth grinding;77;Teeth grinding;128
10686/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Itching;958
9164/19;Systemic disorders;19;General signs or symptoms;154;General pain;603;Pain NOS;1012
9164/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Subdued;2646
9164/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
10695/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
10695/19;Application site disorders;1;Injection site reactions;3;Injection site pruritus;57;Injection site itching;95
10695/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
10699/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Generalised itching;1492
10699/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Erythematous rash;1449
10699/19;Ear and labyrinth disorders;6;External ear disorders;41;Pinnal irritation;227;Pinnal erythema;1095
5204/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site scar;2518
8468/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
8468/19;Systemic disorders;19;Performance disorders;157;Loss of condition;618;Loss of condition score;1045
9456/19;Investigations;34;Abnormal imaging;266;Abnormal ultrasound finding;1093;Abnormal ultrasound finding;2069
10711/19;Behavioural disorders;2;Other behavioural disorders;6;Vocalisation;78;Crying;130
10711/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Increased yawning;2501
10711/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10711/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
10711/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
10172/19;Systemic disorders;19;Death;151;Death;592;Unrelated death;2110
10654/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
10654/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
10659/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
10659/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Desquamation;568;Scale;1196
10705/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10705/19;Digestive tract disorders;5;Other digestive tract disorders;35;Haemorrhagic diarrhoea;195;Haemorrhagic diarrhoea;314
10241/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site greasy fur;2057
8875/19;Systemic disorders;19;General signs or symptoms;154;Increased appetite;779;Polyphagia;137
8875/19;Digestive tract disorders;5;Other digestive tract disorders;35;Painful defecation;911;Painful defecation;1983
10273/19;Investigations;34;Electrolyte investigations;260;Hyponatremia;1064;Hyponatremia;2512
10273/19;Investigations;34;Electrolyte investigations;260;Low sodium-potassium ratio (Na:K ratio);1065;Low sodium-potassium ratio (Na:K ratio);2630
10267/19;Systemic disorders;19;General signs or symptoms;154;Adipsia;338;Adipsia;542
10267/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
10267/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract haemorrhage NOS;188;Blood in faeces;1081
10267/19;Systemic disorders;19;General signs or symptoms;154;Recumbency;947;Abnormal posture;2395
10267/19;Systemic disorders;19;General signs or symptoms;154;Exercise intolerance;617;Exercise intolerance;1042
10267/19;Eye disorders;8;Scleral and conjunctival disorders;64;Conjunctivitis;291;Conjunctivitis;469
10267/19;Ear and labyrinth disorders;6;Other ear disorders;40;Other ear disorder NOS;822;Head shake - ear disorder;375
10267/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Dermatitis and eczema;938;Generalised rash;1493
10267/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Dermatitis and eczema;938;Skin inflammation NOS;1759
10267/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
10267/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
10267/19;Behavioural disorders;2;Other behavioural disorders;6;Anxiety;70;Anxiety;115
10267/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Hiding;2207
10267/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated alanine aminotransferase (ALT);2050
10267/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated serum alkaline phosphatase (SAP);2055
10267/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
10267/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
10267/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin disorders NOS;847;Skin scab;2179
10267/19;Ear and labyrinth disorders;6;Impaired hearing;42;Deafness;230;Deafness;365
10267/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Loose stool;304
10267/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10267/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
10267/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Mucous stool;1080
10267/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatomegaly;307;Enlarged liver;495
10267/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatopathy;308;Hepatopathy;496
10267/19;Digestive tract disorders;5;Intestinal disorders;236;Enteritis;205;NT - (luminal) enteropathy;2332
10267/19;Hepato-biliary disorders;9;Hepato-biliary neoplasms;69;Hepatic neoplasm;312;NT - hepatic or biliary tumour (hepatocarcinoma/cholangiocarcinoma/ adenoma/cholangioma);2329
10267/19;Ear and labyrinth disorders;6;External ear disorders;41;Ear canal disorder;1007;Ear canal erythema;2566
10267/19;Digestive tract disorders;5;Oral cavity disorders;34;Stomatitis;185;Sore mouth;1782
10267/19;Systemic disorders;19;General signs or symptoms;154;Weight gain;620;Weight gain;1050
10267/19;Neurological disorders;14;Paralytic and paretic disorders;102;Cranial nerve disorder;415;Trigeminus paralysis;1149
10267/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Lumbar pain;2390
10267/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
10267/19;Digestive tract disorders;5;Oral cavity disorders;34;Salivary gland disorder;982;Salivary gland disorder;2383
10267/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Rale;514;Increased lung sounds;2488
10267/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Respiratory tract disorder NOS;650;Nasal discharge;871
10267/19;Neurological disorders;14;Paralytic and paretic disorders;102;Cranial nerve disorder;415;Cranial nerve disorder;1147
10267/19;Respiratory tract disorders;17;Respiratory tract neoplasms;139;Pulmonary neoplasm;890;Lung tumour;1917
10267/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
10267/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Panting;855
10267/19;Behavioural disorders;2;Other behavioural disorders;6;Anxiety;70;Distress;114
10267/19;Systemic disorders;19;General signs or symptoms;154;General pain;603;Pain NOS;1012
10267/19;Investigations;34;Thrombocyte investigations;248;Thrombocytosis;949;Thrombocytosis;2116
10267/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated blood urea nitrogen (BUN);2047
10267/19;Ear and labyrinth disorders;6;Other ear disorders;40;Ear infection NOS;757;Ear infection NOS;1435
10267/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin disorders NOS;847;Lump;1191
10267/19;Eye disorders;8;Other eye disorders;62;Eye disorder NOS;280;Ocular discharge;468
10267/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10267/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
10267/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
10670/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
10670/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Dyspnoea;506;Dyspnoea;839
10670/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
10693/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylactoid reaction;1113
10693/19;Digestive tract disorders;5;Oral cavity disorders;34;Tongue disorder;180;Swollen tongue;1820
10693/19;Systemic disorders;19;General signs or symptoms;154;Cyanosis;601;Cyanosis;1009
10693/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Tachypnoea;854
10693/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Pulmonary oedema;512;Pulmonary oedema;848
10693/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Hypoxia;501;Decreased pulse oxygenation;2486
10696/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Hyperactivity;118
10696/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Drinking a lot;545
9102/19;Investigations;34;Electrolyte investigations;260;Acidosis;1056;Acidosis;1898
9102/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatic disorder NOS;775;Hepatic disorder NOS;1520
9102/19;Investigations;34;Electrolyte investigations;260;Hypochloraemia;1062;Hypochloraemia;2578
9102/19;Investigations;34;Electrolyte investigations;260;Hypokalaemia;1063;Hypokalaemia;2418
9102/19;Investigations;34;White blood cell investigations;250;Neutrophilia;102;Neutrophilia;168
9102/19;Investigations;34;Metabolic investigations;254;Hyperglycaemia;903;Hyperglycaemia;1946
9102/19;Investigations;34;Electrolyte investigations;260;Hyponatremia;1064;Hyponatremia;2512
9102/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatopathy;308;Hepatopathy;496
9102/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
9102/19;Investigations;34;Electrolyte investigations;260;Hypercalcaemic condition;343;Hypercalcaemia;553
9102/19;Systemic disorders;19;General signs or symptoms;154;Hypothermia;605;Hypothermia;1015
9102/19;Investigations;34;Renal and urinary investigations;262;Increased urine concentration;1082;Increased urine concentration;1962
9102/19;Cardio-vascular system disorders;4;Circulatory disorders;24;Hypotension;139;Hypotension;228
9102/19;Hepato-biliary disorders;9;Hepatic disorders;66;Fatty liver;300;NT - hepatic lipidosis (steatosis);2321
9102/19;Digestive tract disorders;5;Pancreas disorders;37;Pancreas disorder;208;Pancreas disorder;330
9102/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Unable to stand;653
9102/19;Hepato-biliary disorders;9;Gall bladder and bile duct disorders;65;Gall bladder & bile duct disorder NOS;298;Gall bladder & bile duct disorder NOS;480
9102/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Emesis (multiple);2082
9102/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased red blood cell count;2157
9102/19;Digestive tract disorders;5;Intestinal disorders;236;Enteritis;205;Enteritis;327
9102/19;Hepato-biliary disorders;9;Hepato-biliary disorders;233;Hepato-biliary disorder NOS;923;Hepato-biliary disorder NOS;2018
9102/19;Hepato-biliary disorders;9;Gall bladder and bile duct disorders;65;Cholangitis;296;Bile duct inflammation;1344
10698/19;Application site disorders;1;Application site reactions;1;Application site reaction NOS;16;Application site reaction NOS;29
10698/19;Application site disorders;1;Application site reactions;1;Application site erythema;4;Application site erythema;5
10698/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site moist eczema;2065
10698/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site scab;15
10698/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site sore;2602
10701/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10701/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10701/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
10706/19;Application site disorders;1;Application site reactions;1;Application site inflammation;8;Application site dermatitis;1934
10706/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Dermatitis and eczema;938;Moist dermatitis;937
10707/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site alopecia;2
10707/19;Application site disorders;1;Application site reactions;1;Application site serosanguinous discharge;19;Application site weeping (see also 'skin');32
10707/19;Eye disorders;8;Membrane nictitans disorders;60;Protrusion membrana nictitans;277;Third eyelid protrusion;1105
10707/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Subdued;2646
10707/19;Application site disorders;1;Application site reactions;1;Application site erythema;4;Application site reddening;1332
10707/19;Application site disorders;1;Application site reactions;1;Application site skin change;963;Application site thickening;2515
10708/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
10708/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
10708/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Sleepiness - systemic disorder;2529
10708/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Reluctant to move;1025
10708/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
10708/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
10708/19;Behavioural disorders;2;Other behavioural disorders;6;Aggression;69;Irritability;1559
10709/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Emesis (multiple);2082
10709/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
10710/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
8174/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Limping;1990
10337/19;Application site disorders;1;Application site reactions;1;Application site skin change;963;Application site thickening;2515
10337/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site scratching;26
10337/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
10706/19;Application site disorders;1;Application site reactions;1;Application site serosanguinous discharge;19;Application site weeping (see also 'skin');32
10325/19;Investigations;34;Electrolyte investigations;260;Hyperkalaemia;1060;Hyperkalaemia;1944
10503/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
9251/19;Systemic disorders;19;Death;151;Death;592;Death;984
5064/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
5064/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
9490/19;Blood and lymphatic system disorders;3;Blood and lymphatic system disorders NOS;11;Blood and lymphatic system disorder NOS;88;Blood and lymphatic system disorder NOS;148
9490/19;Blood and lymphatic system disorders;3;Other blood disorders;19;Haemorrhage NOS;111;Multiple organ haemorrhage;2097
9490/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatitis;306;NT - necrotic hepatitis;2326
9490/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
9488/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
9484/19;Blood and lymphatic system disorders;3;Other blood disorders;19;Haemorrhage NOS;111;Multiple organ haemorrhage;2097
9484/19;Blood and lymphatic system disorders;3;Blood and lymphatic system disorders NOS;11;Blood and lymphatic system disorder NOS;88;Blood and lymphatic system disorder NOS;148
9484/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatitis;306;NT - necrotic hepatitis;2326
9484/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
9900/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Low platelet count;161
9900/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
9900/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
9900/19;Digestive tract disorders;5;Oral cavity disorders;34;Gingival disorder;179;Gum pain;1502
9900/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
9900/19;Investigations;34;Electrolyte investigations;260;Hypokalaemia;1063;Hypokalaemia;2418
9900/19;Investigations;34;Electrolyte investigations;260;Hyponatremia;1064;Hyponatremia;2512
9900/19;Unclassifiable event;33;Unclassifiable adverse event;243;Product problem;978;Medication error;2282
9900/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
9900/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
9900/19;Cardio-vascular system disorders;4;Cardiac/heart disorders;23;Murmur;133;Heart murmur;213
9900/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal pain;163;Abdominal pain;263
9900/19;Investigations;34;Serum protein investigations;251;Hypoproteinaemia;1037;Hypoproteinaemia;1976
9900/19;Investigations;34;Serum protein investigations;251;Hypoalbuminaemia;1036;Hypoalbuminaemia;1883
9900/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Anaemia NOS;142
9802/19;Investigations;34;Abnormal necropsy;265;Abnormal necropsy finding;1090;NT - Abnormal necropsy finding NOS;2142
10414/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Tonic-clonic seizure;646
10414/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
10510/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
9814/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
9814/19;Investigations;34;Electrolyte investigations;260;Hypokalaemia;1063;Hypokalaemia;2418
9814/19;Investigations;34;Metabolic investigations;254;Hyperglycaemia;903;Hyperglycaemia;1946
9814/19;Investigations;34;Renal and urinary investigations;262;Decreased blood urea nitrogen (BUN) or creatinine;1120;Low creatinine;2701
9814/19;Investigations;34;Renal and urinary investigations;262;Decreased blood urea nitrogen (BUN) or creatinine;1120;Low blood urea nitrogen (BUN);2700
9814/19;Investigations;34;Hepatobiliary investigations;258;Low liver enzymes;1115;Low alanine aminotransferase (ALT);2688
9814/19;Investigations;34;White blood cell investigations;250;Monocytosis;1031;Monocytosis;2420
9814/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Low platelet count;161
9814/19;Investigations;34;Electrolyte investigations;260;Alkalosis;1057;Alkalosis;2075
9814/19;Investigations;34;Abnormal cytology;264;Abnormal cytology;1089;Abnormal cytology;2588
8169/19;Systemic disorders;19;Death;151;Death;592;Death;984
9615/19;Hepato-biliary disorders;9;Hepato-biliary neoplasms;69;Hepatic neoplasm;312;Hepatic neoplasm;507
4540/19;Digestive tract disorders;5;Intestinal disorders;236;Involuntary defecation;168;Faecal incontinence;1069
10417/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract haemorrhage NOS;188;Blood in faeces;1081
10417/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
10417/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Muscle shaking;1745
10417/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Dull;2274
10417/19;Endocrine system disorders;7;Pancreas endocrine disorders;48;Diabetes mellitus;240;Diabetes mellitus;389
10417/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
10417/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Elevated temperature;1033
10417/19;Digestive tract disorders;5;Intestinal disorders;236;Enteritis;205;Enteritis;327
10417/19;Hepato-biliary disorders;9;Gall bladder and bile duct disorders;65;Cholecystitis;297;Cholecystitis;479
10417/19;Digestive tract disorders;5;Pancreas disorders;37;Pancreatitis;880;Pancreatitis;1891
9227/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
9227/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
9227/19;Systemic disorders;19;General signs or symptoms;154;Increased appetite;779;Polyphagia;137
9227/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Panting;855
9227/19;Investigations;34;Adrenal investigations;253;Hypercortisolaemia;1043;Hypocortisolaemia;2625
10571/19;Systemic disorders;19;General signs or symptoms;154;Cyanosis;601;Cyanosis;1009
10571/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased packed cell volume (PCV);2215
10571/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
